listing_id,city,neighbourhood,property_type,total_sqft,no_of_rooms,furnish,sale_type,status,price,price (in 'k'),price_per_sqft
72043395,Chennai,Thoraipakkam,Plot/Land,1820,n/a,n/a,n/a,n/a,₹ 2.25 Cr,22500,12363
73054739,Chennai,Anakaputhur,Apartment,504,1 BHK,Unfurnished,Resale,Ready to Move,₹ 27 Lac,2700,0
71882111,Chennai,Nemam,Plot/Land,958,n/a,n/a,n/a,n/a,₹ 21 Lac,2100,2192
73826069,Chennai,Nagar,House,1100,2 BHK,under construction,New Property,UNDER CONSTRUCTION,₹ 55 Lac,5500,5000
74067681,Chennai,Kannivakkam,Plot/Land,2010,n/a,n/a,n/a,n/a,₹ 64 Lac,6400,3184
73103919,Chennai,Kilpauk,Apartment,1850,3 BHK,Semi-Furnished,Resale,Ready to Move,₹ 3 Cr,30000,14634
72361611,Chennai,Selaiyur,Apartment,700,2 BHK,Semi-Furnished,Resale,Ready to Move,₹ 36 Lac,3600,4500
71778401,Chennai,Porur,Apartment,262,1 BHK,Semi-Furnished,Resale,Ready to Move,₹ 36.5 Lac,3650,7900
71227729,Chennai,Karapakkam,Villa,5500,5 BHK,Semi-Furnished,Resale,Ready to Move,₹ 6 Cr,60000,7792
72418381,Chennai,Numbal,Apartment,650,2 BHK,Unfurnished,Resale,Ready to Move,₹ 40 Lac,4000,3925
65646043,Chennai,Choolaimedu,Apartment,727,1 BHK,Semi-Furnished,Resale,Ready to Move,₹ 42 Lac,4200,5777
67840803,Chennai,Somangalam,Plot/Land,2400,n/a,n/a,n/a,n/a,₹ 36 Lac,3600,1500
74073877,Chennai,Sholinganallur,Villa,1641,3 BHK,Unfurnished,Resale,Ready to Move,₹ 2.54 Cr,25400,15478
